ssp,time,tas,ensemble,model
ssp585,2070,16.53986,NEX,ACCESS-ESM1-5
ssp585,2071,17.06962,NEX,ACCESS-ESM1-5
ssp585,2072,16.45603,NEX,ACCESS-ESM1-5
ssp585,2073,17.480383,NEX,ACCESS-ESM1-5
ssp585,2074,16.577559,NEX,ACCESS-ESM1-5
ssp585,2075,16.164639,NEX,ACCESS-ESM1-5
ssp585,2076,16.662622,NEX,ACCESS-ESM1-5
ssp585,2077,15.528456,NEX,ACCESS-ESM1-5
ssp585,2078,16.304493,NEX,ACCESS-ESM1-5
ssp585,2079,16.866343,NEX,ACCESS-ESM1-5
ssp585,2080,16.806486,NEX,ACCESS-ESM1-5
ssp585,2081,18.6903,NEX,ACCESS-ESM1-5
ssp585,2082,17.09192,NEX,ACCESS-ESM1-5
ssp585,2083,16.90632,NEX,ACCESS-ESM1-5
ssp585,2084,18.015059,NEX,ACCESS-ESM1-5
ssp585,2085,16.819376,NEX,ACCESS-ESM1-5
ssp585,2086,17.530518,NEX,ACCESS-ESM1-5
ssp585,2087,17.652618,NEX,ACCESS-ESM1-5
ssp585,2088,17.779509,NEX,ACCESS-ESM1-5
ssp585,2089,19.072235,NEX,ACCESS-ESM1-5
ssp585,2090,19.200748,NEX,ACCESS-ESM1-5
ssp585,2091,18.70907,NEX,ACCESS-ESM1-5
ssp585,2092,18.211502,NEX,ACCESS-ESM1-5
ssp585,2093,17.18109,NEX,ACCESS-ESM1-5
ssp585,2094,18.056189,NEX,ACCESS-ESM1-5
ssp585,2095,16.888083,NEX,ACCESS-ESM1-5
ssp585,2096,18.82986,NEX,ACCESS-ESM1-5
ssp585,2097,18.819942,NEX,ACCESS-ESM1-5
ssp585,2098,17.700954,NEX,ACCESS-ESM1-5
ssp585,2099,18.88699,NEX,ACCESS-ESM1-5
ssp585,2100,17.854958,NEX,ACCESS-ESM1-5
ssp126,2015,13.260078,NEX,BCC-CSM2-MR
ssp126,2016,13.316954,NEX,BCC-CSM2-MR
ssp126,2017,13.434554,NEX,BCC-CSM2-MR
ssp126,2018,13.711184,NEX,BCC-CSM2-MR
ssp126,2019,13.219294,NEX,BCC-CSM2-MR
ssp126,2020,13.538435,NEX,BCC-CSM2-MR
ssp126,2021,12.209781,NEX,BCC-CSM2-MR
ssp126,2022,13.91368,NEX,BCC-CSM2-MR
ssp126,2023,13.416973,NEX,BCC-CSM2-MR
ssp126,2024,12.326066,NEX,BCC-CSM2-MR
ssp126,2025,12.996877,NEX,BCC-CSM2-MR
ssp126,2026,12.409811,NEX,BCC-CSM2-MR
ssp126,2027,11.999567,NEX,BCC-CSM2-MR
ssp126,2028,13.2077055,NEX,BCC-CSM2-MR
ssp126,2029,13.596454,NEX,BCC-CSM2-MR
ssp126,2030,13.046627,NEX,BCC-CSM2-MR
ssp126,2031,13.153171,NEX,BCC-CSM2-MR
ssp126,2032,13.944872,NEX,BCC-CSM2-MR
ssp126,2033,14.269499,NEX,BCC-CSM2-MR
ssp126,2034,14.795201,NEX,BCC-CSM2-MR
ssp126,2035,14.075962,NEX,BCC-CSM2-MR
ssp126,2036,14.273581,NEX,BCC-CSM2-MR
ssp126,2037,12.222739,NEX,BCC-CSM2-MR
ssp126,2038,13.398335,NEX,BCC-CSM2-MR
ssp126,2039,13.528635,NEX,BCC-CSM2-MR
ssp126,2040,13.01329,NEX,BCC-CSM2-MR
ssp126,2041,13.466283,NEX,BCC-CSM2-MR
ssp126,2042,14.059284,NEX,BCC-CSM2-MR
ssp126,2043,14.0849285,NEX,BCC-CSM2-MR
ssp126,2044,14.138088,NEX,BCC-CSM2-MR
ssp126,2045,12.981296,NEX,BCC-CSM2-MR
ssp126,2046,14.037391,NEX,BCC-CSM2-MR
